,Date,Moment
199,2025-03-20,-0.04
200,2025-03-21,-0.03
201,2025-03-24,-0.02
202,2025-03-25,-0.01
203,2025-03-26,-0.01
204,2025-03-27,-0.02
205,2025-03-28,-0.04
206,2025-03-31,-0.04
207,2025-04-01,-0.04
208,2025-04-02,-0.04
209,2025-04-03,-0.07
210,2025-04-04,-0.11
211,2025-04-07,-0.11
212,2025-04-08,-0.1
213,2025-04-09,-0.07
214,2025-04-10,-0.08
215,2025-04-11,-0.08
216,2025-04-14,-0.07
217,2025-04-15,-0.06
218,2025-04-16,-0.08
219,2025-04-17,-0.08
220,2025-04-21,-0.1
221,2025-04-22,-0.08
222,2025-04-23,-0.07
223,2025-04-24,-0.06
224,2025-04-25,-0.06
225,2025-04-28,-0.06
226,2025-04-29,-0.06
227,2025-04-30,-0.06
228,2025-05-01,-0.06
229,2025-05-02,-0.05
230,2025-05-05,-0.04
231,2025-05-06,-0.04
232,2025-05-07,-0.04
233,2025-05-08,-0.03
234,2025-05-09,-0.02
235,2025-05-12,-0.01
236,2025-05-13,0.0
237,2025-05-14,0.01
238,2025-05-15,0.01
239,2025-05-16,0.03
240,2025-05-19,0.02
241,2025-05-20,0.04
242,2025-05-21,0.03
243,2025-05-22,0.03
244,2025-05-23,0.03
245,2025-05-27,0.03
246,2025-05-28,0.03
247,2025-05-29,0.04
248,2025-05-30,0.03
