,Date,^GSPC Close,^DJI Close,ES=F Close,YM=F Close
0,2021-08-10,4497.788714205006,35749.8266004435,4490.94585088819,35638.64591150662
1,2021-08-11,4503.526740215461,35973.154215961535,4501.590304936571,35858.63129517315
2,2021-08-12,4522.200074689099,35988.24177917743,4515.782910334411,35889.04402102567
3,2021-08-13,4529.468636968044,36003.98274080031,4523.892970561749,35907.29165653718
4,2021-08-16,4541.339698025906,36115.515868877934,4535.551182138547,36022.860014776736
5,2021-08-17,4509.27466620178,35829.51744615392,4504.631577521823,35744.07669446201
6,2021-08-18,4460.806859368298,35441.6641117564,4454.957458629379,35366.95889389081
7,2021-08-19,4466.412720700977,35374.17795629044,4462.0537613283,35297.00962443002
8,2021-08-20,4502.776322045012,35603.243597818924,4498.042153587111,35540.31143125015
9,2021-08-23,4541.157043471225,35821.842984864576,4537.071818431173,35766.37936008719
10,2021-08-24,4547.949416911138,35852.81406935579,4544.168121130093,35799.83335852496
11,2021-08-25,4558.04640229427,35892.59217237513,4554.812575178474,35846.46620483215
12,2021-08-26,4531.496152024878,35697.56660785552,4527.948000675418,35643.7146991487
13,2021-08-27,4571.407904718373,35943.58496805258,4567.484544283689,35890.05777855409
14,2021-08-30,4591.094996720429,35886.854146364676,4587.506255469928,35838.356144604804
15,2021-08-31,4584.901076821462,35847.206723026735,4582.690907209947,35826.1910542638
16,2021-09-01,4586.330138337351,35798.34440215509,4583.45122535626,35775.50317784294
17,2021-09-02,4599.367416551927,35931.4396776633,4597.6438307541,35911.346686650846
18,2021-09-03,4597.826485308781,35855.681102365845,4596.883512607787,35839.36990213323
19,2021-09-07,4582.2142233721215,35582.88924744367,4581.423710299425,35573.76542968792
20,2021-09-08,4576.172268102659,35513.01125780911,4574.580846982609,35493.67858494296
21,2021-09-09,4555.096209486962,35359.232952726976,4554.052257032161,35349.725015907716
22,2021-09-10,4519.919120250161,35083.83542415754,4519.584501065976,35083.106785934
23,2021-09-13,4530.208660163837,35349.34881682491,4530.482394496461,35349.725015907716
24,2021-09-14,4504.175188634517,35053.272218671904,4505.64533505024,35058.77660525198
25,2021-09-15,4542.343555578459,35293.35059335089,4543.40780298378,35298.02338195844
26,2021-09-16,4535.297742756443,35229.412589234395,4535.804621520651,35227.06035496924
27,2021-09-17,4493.977223497578,35060.68136060811,4525.74822603856,35174.143003983925
28,2021-09-20,4417.681574509527,34437.81843917369,4408.071172940085,34304.54100410959
29,2021-09-21,4414.092833259027,34386.493004307216,4403.002385297998,34262.97694544448
30,2021-09-22,4456.113280811437,34729.63012772471,4444.313004580999,34598.530687350576
31,2021-09-23,4510.186948977597,35243.098315868025,4499.055911115528,35120.615814485434
32,2021-09-24,4516.776372912309,35276.73447386168,4506.912531960761,35151.028540337946
33,2021-09-27,4504.236073486078,35349.08745746211,4493.987123473442,35220.97780979874
34,2021-09-28,4412.5113121148415,34771.87134473888,4403.255824680103,34645.16353365777
35,2021-09-29,4419.435355233738,34863.850040491016,4409.59180923271,34736.401711215316
36,2021-09-30,4366.801143558124,34309.530591944764,4356.876417755016,34185.93137328477
37,2021-10-01,4416.982141214775,34798.70819930952,4403.509264062207,34637.05347343043
